ITERATION,Global Best Fitness,Global Best Position
ITERATION 0,0.001914947,0.043760107
ITERATION 1,1.21E-05,-0.003484544
ITERATION 2,1.21E-05,-0.003484544
ITERATION 3,1.27E-06,0.001129047
ITERATION 4,1.27E-06,0.001129047
ITERATION 5,1.27E-06,0.001129047
ITERATION 6,1.27E-06,0.001129047
ITERATION 7,1.27E-06,0.001129047
ITERATION 8,1.27E-06,0.001129047
ITERATION 9,1.27E-06,0.001129047
ITERATION 10,1.27E-06,0.001129047
ITERATION 11,1.27E-06,0.001129047
ITERATION 12,1.27E-06,0.001129047
ITERATION 13,1.27E-06,0.001129047
ITERATION 14,1.27E-06,0.001129047
ITERATION 15,1.27E-06,0.001129047
ITERATION 16,1.27E-06,0.001129047
ITERATION 17,1.27E-06,0.001129047
ITERATION 18,1.27E-06,0.001129047
ITERATION 19,1.27E-06,0.001129047
ITERATION 20,1.27E-06,0.001129047
ITERATION 21,1.27E-06,0.001129047
ITERATION 22,1.27E-06,0.001129047
ITERATION 23,1.27E-06,0.001129047
ITERATION 24,1.27E-06,0.001129047
ITERATION 25,1.27E-06,0.001129047
ITERATION 26,1.27E-06,0.001129047
ITERATION 27,1.27E-06,0.001129047
ITERATION 28,1.27E-06,0.001129047
ITERATION 29,1.27E-06,0.001129047
ITERATION 30,1.27E-06,0.001129047
ITERATION 31,1.27E-06,0.001129047
ITERATION 32,1.27E-06,0.001129047
ITERATION 33,1.27E-06,0.001129047
ITERATION 34,1.27E-06,0.001129047
ITERATION 35,1.27E-06,0.001129047
ITERATION 36,1.27E-06,0.001129047
ITERATION 37,1.27E-06,0.001129047
ITERATION 38,1.27E-06,0.001129047
ITERATION 39,1.27E-06,0.001129047
ITERATION 40,1.27E-06,0.001129047
ITERATION 41,2.73E-08,1.65E-04
ITERATION 42,2.73E-08,1.65E-04
ITERATION 43,2.73E-08,1.65E-04
ITERATION 44,2.73E-08,1.65E-04
ITERATION 45,2.73E-08,1.65E-04
ITERATION 46,2.73E-08,1.65E-04
ITERATION 47,2.73E-08,1.65E-04
ITERATION 48,2.73E-08,1.65E-04
ITERATION 49,2.73E-08,1.65E-04
ITERATION 50,2.73E-08,1.65E-04
ITERATION 51,2.73E-08,1.65E-04
ITERATION 52,2.73E-08,1.65E-04
ITERATION 53,2.64E-09,-5.14E-05
ITERATION 54,3.60E-10,-1.90E-05
ITERATION 55,3.60E-10,-1.90E-05
ITERATION 56,3.60E-10,-1.90E-05
ITERATION 57,3.60E-10,-1.90E-05
ITERATION 58,3.60E-10,-1.90E-05
ITERATION 59,3.60E-10,-1.90E-05
ITERATION 60,3.60E-10,-1.90E-05
ITERATION 61,3.60E-10,-1.90E-05
ITERATION 62,3.60E-10,-1.90E-05
ITERATION 63,3.60E-10,-1.90E-05
ITERATION 64,3.60E-10,-1.90E-05
ITERATION 65,3.60E-10,-1.90E-05
ITERATION 66,3.60E-10,-1.90E-05
ITERATION 67,3.60E-10,-1.90E-05
ITERATION 68,1.55E-10,1.25E-05
ITERATION 69,1.55E-10,1.25E-05
ITERATION 70,1.55E-10,1.25E-05
ITERATION 71,1.55E-10,1.25E-05
ITERATION 72,1.13E-13,-3.36E-07
ITERATION 73,1.13E-13,-3.36E-07
ITERATION 74,1.13E-13,-3.36E-07
ITERATION 75,1.13E-13,-3.36E-07
ITERATION 76,1.13E-13,-3.36E-07
ITERATION 77,1.13E-13,-3.36E-07
ITERATION 78,1.13E-13,-3.36E-07
ITERATION 79,1.13E-13,-3.36E-07
ITERATION 80,1.13E-13,-3.36E-07
ITERATION 81,1.13E-13,-3.36E-07
ITERATION 82,1.13E-13,-3.36E-07
ITERATION 83,1.13E-13,-3.36E-07
ITERATION 84,5.52E-14,-2.35E-07
ITERATION 85,9.05E-16,-3.01E-08
ITERATION 86,9.05E-16,-3.01E-08
ITERATION 87,9.05E-16,-3.01E-08
ITERATION 88,9.05E-16,-3.01E-08
ITERATION 89,9.05E-16,-3.01E-08
ITERATION 90,2.86E-16,1.69E-08
ITERATION 91,2.86E-16,1.69E-08
ITERATION 92,1.55E-16,-1.25E-08
ITERATION 93,1.55E-16,-1.25E-08
ITERATION 94,2.91E-17,5.39E-09
ITERATION 95,2.91E-17,5.39E-09
ITERATION 96,1.12E-17,-3.35E-09
ITERATION 97,1.12E-17,-3.35E-09
ITERATION 98,3.88E-18,1.97E-09
ITERATION 99,3.88E-18,1.97E-09
